,year,make,model,sub_model,price,exterior_color,engine,drive_type,fuel_type,transmission
7413,2021,Chrysler,Pacifica,Touring L FWD,"$48,587",Ceramic Gray Clearcoat,3.6L V-6 Gas,FWD,Gas,Automatic
7414,2022,BMW,X5,sDrive40i,"$67,317",Phytonic Blue Metallic,3.0L Inline-6 Hybrid Turbocharged,RWD,Hybrid,Automatic
7415,2021,BMW,X1,sDrive28i,"$38,925",Alpine White,2.0L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
7416,2021,Dodge,Charger,SXT RWD,"$30,892",Hellraisin,3.6L V-6 Gas,RWD,gas,Automatic
7417,2022,BMW,8 Series,M850i Gran Coupe xDrive,"$103,960",Individual Dravit Grey Metallic,4.4L V-8 Gas Turbocharged,AWD,Gas,Automatic
7418,2022,Toyota,Sequoia,TRD Sport 4WD,"$59,550",Wind Chill Pearl,5.7L V-8 Gas,4WD,Gas,Automatic
7419,2021,GMC,Yukon,SLT 4WD,"$71,930",Onyx Black,5.3L V-8 Gas,4WD,Gas,Automatic
7420,2021,Ford,Edge,Titanium FWD,"$39,766",Star White Metallic Tri-Coat,2.0L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
7421,2022,Honda,Accord,Sport 1.5T CVT,"$29,365",Sonic Gray Pearl,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
7422,2021,Ford,Bronco,Big Bend 2 Door Advanced 4WD,"$46,042",Rapid Red Metallic Tinted Clearcoat,1.3L Inline-4 Gas Turbocharged,4WD,Gas,Automatic
7423,2022,Jeep,Compass,Limited 4WD,"$34,686",Granite Crystal Metallic Clearcoat,2.4L Inline-4 Gas,4WD,Gas,Automatic
7424,2021,Chrysler,Pacifica,Touring L FWD,"$46,989",Billet Silver Metallic Clearcoat,3.6L V-6 Gas,FWD,Gas,Automatic
7425,2022,Honda,Pilot,EX-L AWD,"$42,919",Lunar Silver Metallic,3.5L V-6 Gas,AWD,Gas,Automatic
7426,2022,Jeep,Compass,Limited 4WD,"$32,481",Granite Crystal Metallic Clearcoat,2.4L Inline-4 Gas,4WD,Gas,Automatic
7427,2021,Dodge,Charger,SXT RWD,"$31,619",Sinamon Stick,3.6L V-6 Gas,RWD,gas,Automatic
7428,2021,Jeep,Cherokee,Limited 4WD,"$39,228",Sting-Gray Clearcoat,3.2L V-6 Gas,4WD,Gas,Automatic
7429,2021,Ram,1500,"Big Horn Quad Cab 6'4"" Box 2WD","$48,225",Diamond Black Crystal Pearlcoat,5.7L V-8 Gas,RWD,Gas,Automatic
7430,2021,Chrysler,Pacifica,Touring L FWD,"$42,312",Billet Silver Metallic Clearcoat,3.6L V-6 Gas,FWD,Gas,Automatic
7431,2021,Jeep,Grand Cherokee,Laredo X RWD,"$40,419",Velvet Red Pearlcoat,3.6L V-6 Gas,RWD,Gas,Automatic
7432,2022,Land,Rover Discovery Sport,S,"$48,670",Silicon Silver Premium Metallic,2.0L Inline-4 Gas Turbocharged,4WD,Gas,Automatic
7433,2022,Land,Rover Discovery Sport,SE,"$54,640",Silicon Silver Premium Metallic,2.0L Inline-4 Gas Turbocharged,4WD,Gas,Automatic
7434,2021,Mazda,CX-9,Signature AWD,"$49,118",Machine Gray Metallic,2.5L Inline-4 Gas Turbocharged,AWD,gas,Automatic
7435,2021,Jaguar,E-PACE,P300 300 Sport,"$55,452",Yulong White Metallic,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic
7436,2022,Kia,Sportage,LX AWD,"$31,023",Snow White Pearl,2.4L Inline-4 Gas,AWD,gas,Automatic
7437,2021,Nissan,Rogue,SL FWD,"$35,730",Gun Metallic,2.5L Inline-4 Gas,FWD,Gas,Automatic
7438,2021,Chevrolet,Blazer,2LT AWD,"$34,108",Red Hot,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic
7439,2022,Chevrolet,Silverado 2500HD,WT Crew Cab Standard Bed 4WD,"$47,367",Summit White,6.6L V-8 Gas,4WD,Gas,Automatic
7440,2022,Jeep,Compass,Limited 4WD,"$32,380",Billet Silver Metallic Clearcoat,2.4L Inline-4 Gas,4WD,Gas,Automatic
7441,2022,Jeep,Compass,Trailhawk 4WD,"$35,884",Granite Crystal Metallic Clearcoat,2.4L Inline-4 Gas,4WD,Gas,Automatic
7442,2021,Jeep,Grand Cherokee,L Limited 4WD,"$46,763",Bright White Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
7443,2022,Ram,1500,"Big Horn Quad Cab 6'4"" Box 4WD","$45,905",Granite Crystal Metallic Clearcoat,3.6L V-6 Hybrid,4WD,Hybrid,Automatic
7444,2022,Jeep,Compass,Latitude 4WD,"$30,986",Granite Crystal Metallic Clearcoat,2.4L Inline-4 Gas,4WD,Gas,Automatic
7445,2022,Jeep,Compass,Limited 4WD,"$34,578",Granite Crystal Metallic Clearcoat,2.4L Inline-4 Gas,4WD,Gas,Automatic
7446,2022,Buick,Enclave,Premium AWD,No Price Available,Summit White,3.6L V-6 Gas,AWD,Gas,Automatic
7447,2021,Ford,Explorer,XLT 4WD,"$43,008",Oxford White,2.3L Inline-4 Gas Turbocharged,4WD,Gas,Automatic
7448,2021,Nissan,Titan,S Crew Cab 4WD,"$44,375",Super Black,5.6L V-8 Gas,4WD,Gas,Automatic
7449,2022,Volkswagen,Tiguan,SE 4MOTION,"$33,284",Atlantic Blue Metallic,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic
7450,2021,Nissan,Kicks,SV,"$22,820",Super Black,1.6L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
7451,2021,Ford,Ranger,XLT SuperCrew 5' Box 4WD,"$39,947",Oxford White,2.3L Inline-4 Gas Turbocharged,4WD,Gas,Automatic
7452,2021,Chrysler,Pacifica,Touring L FWD,"$45,973",Granite Crystal Metallic Clearcoat,3.6L V-6 Gas,FWD,Gas,Automatic
7453,2021,Ram,1500 Classic,"Tradesman Quad Cab 6'4"" Box 4WD","$45,860",Maximum Steel Metallic Clearcoat,5.7L V-8 Gas,4WD,Gas,Automatic
7454,2022,GMC,Sierra 2500HD,Denali Crew Cab Standard Bed 4WD,"$81,661",Onyx Black,6.6L V-8 Diesel Turbocharged,4WD,Diesel,Automatic
7455,2022,Volkswagen,Passat,2.0T Limited Edition,"$31,645",Pure White,2.0L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
7456,2021,Nissan,Rogue Sport,S AWD,"$28,168",Gun Metallic,2.0L Inline-4 Gas,AWD,Gas,Automatic
7457,2021,Ford,Explorer,XLT 4WD,"$43,008",Oxford White,2.3L Inline-4 Gas Turbocharged,4WD,Gas,Automatic
7458,2021,Ram,1500 Classic,"Tradesman Crew Cab 5'7"" Box 2WD","$37,176",Granite Crystal Metallic Clearcoat,3.6L V-6 Gas,RWD,Gas,Automatic
7459,2022,Nissan,LEAF,SV PLUS,"$37,386",Super Black/Pearl White,L - Electric,FWD,Electric,Automatic
7460,2021,Chevrolet,Silverado 1500,Custom Crew Cab Short Bed 2WD,"$41,358",Silver Ice Metallic,2.7L Inline-4 Gas Turbocharged,RWD,Gas,Automatic
7461,2022,Nissan,Frontier,S Crew Cab 4WD,"$34,902",Glacier White,3.8L V-6 Gas,4WD,Gas,Automatic
7462,2021,Chevrolet,Silverado 1500,RST Crew Cab Short Bed 2WD,"$50,342",Silver Ice Metallic,5.3L Inline-8 Gas Turbocharged,RWD,Gas,Automatic
7463,2021,Chevrolet,Silverado 1500,Custom Crew Cab Short Bed 4WD,"$46,244",Oxford Brown Metallic,2.7L Inline-4 Gas Turbocharged,4WD,Gas,Automatic
7464,2021,Chrysler,300,S RWD,"$45,864",Granite Crystal Metallic Clearcoat,3.6L V-6 Gas,RWD,Gas,Automatic
7465,2022,Nissan,Frontier,SV Crew Cab 4WD,"$42,234",Glacier White,3.8L V-6 Gas,4WD,Gas,Automatic
7466,2022,Chevrolet,Silverado 2500HD,WT Crew Cab Standard Bed 4WD,"$47,367",Red Hot,6.6L V-8 Gas,4WD,Gas,Automatic
7467,2022,Honda,HR-V,EX AWD,"$27,664",Modern Steel Metallic,1.8L Inline-4 Gas,AWD,gas,Automatic
7468,2022,Honda,Civic,Sport Sedan CVT,"$24,953",Platinum White Pearl,2.0L Inline-4 Gas,FWD,gas,Automatic
7469,2022,Honda,Ridgeline,RTL,"$41,016",Unknown,3.5L V-6 Gas,AWD,Gas,Automatic
7470,2022,Honda,Civic,Sport Hatchback CVT,"$25,217",Platinum White Pearl,2.0L Inline-4 Gas,FWD,Gas,Automatic
7471,2022,Honda,Pilot,Touring 7-Passenger AWD,"$47,053",Deep Scarlet Pearl,3.5L V-6 Gas,AWD,Gas,Automatic
7472,2022,Honda,Civic,EX Sedan CVT,"$25,998",Rallye Red,1.5L Inline-4 Gas Turbocharged,FWD,gas,Automatic
7473,2022,BMW,5 Series,530i Sedan RWD,"$61,455",Alpine White,2.0L Inline-4 Gas Turbocharged,RWD,Gas,Automatic
7474,2021,BMW,5 Series,530i RWD,"$56,552",Bernina Grey Amber Effect,2.0L Inline-4 Gas Turbocharged,RWD,Gas,Automatic
7475,2021,Jeep,Gladiator,Rubicon,"$53,712",Bright White Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
7476,2021,Nissan,Rogue Sport,SV FWD,"$27,736",Pearl White Tricoat,2.0L Inline-4 Gas,FWD,Gas,Automatic
7477,2021,Chevrolet,Silverado 1500,Custom Crew Cab Short Bed 2WD,"$36,877",Red Hot,2.7L Inline-4 Gas Turbocharged,RWD,Gas,Automatic
7478,2021,Dodge,Challenger,SXT RWD,"$28,257",Granite Pearlcoat,3.6L V-6 Gas,RWD,gas,Automatic
7479,2022,Hyundai,Kona,N Line AWD DCT,"$31,256",Lunar White,1.6L Inline-4 Gas Turbocharged,AWD,gas,Manual
7480,2021,Jeep,Gladiator,Willys,"$47,028",Snazzberry Pearlcoat,3.6L V-6 Gas,4WD,Gas,Automatic
7481,2022,Audi,e-tron GT,Premium Plus,"$113,519",Daytona Gray Pearl Effect,L - Electric,AWD,Electric,Automatic
7482,2021,Jeep,Grand Cherokee,L Limited 4WD,"$51,418",Bright White Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
7483,2021,Jeep,Gladiator,Overland,"$47,496",Black Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
7484,2021,Ram,1500 Classic,Tradesman Regular Cab 8' Box 2WD,"$30,214",Diamond Black Crystal Pearlcoat,3.6L V-6 Gas,RWD,Gas,Automatic
7485,2021,Jeep,Grand Cherokee,L Limited 4WD,"$51,762",Velvet Red Pearlcoat,3.6L V-6 Gas,4WD,Gas,Automatic
7486,2022,Chevrolet,Silverado 1500 LTD,Custom Crew Cab Short Bed 2WD,"$40,730",Satin Steel Metallic,2.7L Inline-4 Gas Turbocharged,RWD,Gas,Automatic
7487,2021,Chrysler,300,S RWD,"$39,835",Gloss Black,3.6L V-6 Gas,RWD,Gas,Automatic
7488,2022,Honda,CR-V,EX-L AWD,"$34,391",Radiant Red Metallic,1.5L Inline-4 Gas Turbocharged,AWD,gas,Automatic
7489,2021,Honda,Passport,Sport AWD,"$35,850",Platinum White Pearl,3.5L V-6 Gas,AWD,Gas,Automatic
7490,2021,Ram,1500 Classic,"Tradesman Crew Cab 5'7"" Box 4WD","$41,649",Granite Crystal Metallic Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
7491,2021,Mercedes-Benz,GLE,GLE 350 4MATIC,"$64,173",Mojave Silver Metallic,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic
7492,2021,Jeep,Gladiator,Rubicon,"$54,615",Black Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
7493,2021,Chrysler,Pacifica,Touring FWD,"$40,128",Brilliant Black Crystal Pearlcoat,3.6L V-6 Gas,FWD,Gas,Automatic
7494,2021,Dodge,Durango,GT Plus AWD,"$49,498",F8 Green Clearcoat,3.6L V-6 Gas,AWD,Gas,Automatic
7495,2022,GMC,Sierra 1500 Limited,SLT Crew Cab Standard Bed 4WD,"$56,257",Summit White,5.3L V-8 Gas,4WD,Gas,Automatic
7496,2021,GMC,Yukon,XL Denali 4WD,"$88,477",Onyx Black,6.2L V-8 Gas,4WD,Gas,Automatic
7497,2022,Hyundai,Kona,SEL FWD Automatic,"$27,090",Blue Wave,2.0L Inline-4 Gas,FWD,Gas,Automatic
7498,2021,Ford,Explorer,Platinum RWD,"$54,473",Stone Gray Metallic,3.0L V-6 Gas Turbocharged,RWD,Gas,Automatic
7499,2022,Hyundai,Ioniq,Hybrid SE,"$27,534",Stellar Silver,1.6L Inline-4 Hybrid,FWD,Hybrid,Automatic
7500,2021,Volkswagen,Jetta,SEL Automatic,"$28,523",Tornado Red,1.4L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
7501,2021,Mazda,CX-5,Touring AWD,"$32,275",Machine Gray Metallic,2.5L Inline-4 Gas,AWD,Gas,Automatic
7502,2022,INFINITI,Q50,RED SPORT 400 RWD,"$59,881",Graphite Shadow,3.0L V-6 Gas Turbocharged,RWD,Gas,Automatic
7503,2021,Ford,Mustang,GT Fastback,"$39,680",Shadow Black,5.0L V-8 Gas,RWD,Gas,Manual
7504,2022,Jeep,Compass,Trailhawk 4WD,"$31,868",Billet Silver Metallic Clearcoat,2.4L Inline-4 Gas,4WD,Gas,Automatic
7505,2021,Jeep,Grand Cherokee,L Limited 4WD,"$50,079",Velvet Red Pearlcoat,3.6L V-6 Gas,4WD,Gas,Automatic
7506,2022,Volkswagen,Atlas,3.6L V6 SE with Technology 4MOTION,"$43,355",Deep Black Pearl,3.6L V-6 Gas,AWD,Gas,Automatic
