,year,make,model,sub_model,city,state,mileage,price,style,exterior_color,interior_color,engine,drive_type,fuel_type,transmission,accidents,title,owners,use_type
2856,2019,Toyota,Corolla,LE CVT,Tampa,FL,59817,16992,Sedan,Barcelona Red Metallic,Black,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Rental Use
2857,2017,Ford,Fusion,SE FWD,Roseville,CA,84930,15997,Sedan,Magnetic,Ebony,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Personal Use
2858,2019,Ford,F-150,Lariat SuperCrew 6.5' Box 4WD,Bountiful,UT,20420,49995,Pickup Truck,White,Black,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use
2859,2018,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,Columbia,TN,34924,45997,Pickup Truck,Shadow Black,Black,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,2,Fleet Use
2860,2013,BMW,5 Series,535i Sedan,Houston,TX,191830,7689,Sedan,Jet Black,Black,3.0L Inline-6 Gas Turbocharged,RWD,Gas,Automatic,0,Clean,2,Personal Use
2861,2009,Ford,Econoline Cargo Van,E-350 Super Duty Commercial Extended,Peabody,MA,61369,15995,Cargo Van,White,Unknown,5.4L V-8 Gas,RWD,Gas,Automatic,0,Clean,1,Personal Use
2862,2013,Volkswagen,Beetle Coupe,2dr Auto 2.5L Entry PZEV,Snellville,GA,74612,8499,Coupe,Silver,Black,2.5L Inline-5 Gas,FWD,Gas,Automatic,2,Clean,4,Fleet Use
2863,2008,Pontiac,Grand Prix,4dr Sedan,Mesa,AZ,85112,6995,Sedan,Gold Mist Metallic,Cashmere,3.8L V-6 Gas,FWD,Gas,Automatic,0,Clean,3,Personal Use
2864,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Gladstone,OR,31838,39929,Pickup Truck,Black,Medium Light Camel,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use
2865,2018,Chevrolet,Silverado 1500,LT Crew Cab Short Box 4WD,Ankeny,IA,46822,39927,Pickup Truck,Summit White,Jet Black,5.3L V-8 Gas,4WD,Gas,Automatic,1,Clean,1,Personal Use
2866,2018,INFINITI,QX60,3.5 AWD,Columbus,OH,96438,20500,SUV,Black Obsidian,Graphite,3.5L V-6 Gas,AWD,Gas,Automatic,0,Clean,1,Personal Use
2867,2018,Ford,Explorer,XLT 4WD,Elma,NY,65929,28697,SUV,Magnetic Metallic,Ebony Black,3.5L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
2868,2019,Ford,F-150,XLT SuperCrew 5.5' Box 2WD,Columbus,TX,37076,32497,Pickup Truck,Oxford White,Medium Earth Gray,5.0L V-8 Gas,RWD,Gas,Automatic,0,Clean,2,Rental Use
2869,2019,Ford,Expedition,XLT RWD,Palm Coast,FL,22101,48900,SUV,White Platinum Metallic Tri-Coat,Ebony,3.5L V-6 Gas Turbocharged,RWD,Gas,Automatic,0,Clean,1,Personal Use
2870,2019,Toyota,Camry,SE Automatic,Pompano Beach,FL,49542,23968,Sedan,Midnight Black Metallic,Black,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use
2871,2019,Toyota,Highlander,XLE V6 FWD,Valencia,CA,21011,36984,SUV,Midnight Black Metallic,Black,3.5L V-6 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use
2872,2009,Dodge,Ram 1500,SLT Crew Cab Short Bed 2WD,Phoenix,AZ,110239,11500,Pickup Truck,Brilliant Black Pearl,Light Pebble Beige,4.7L V-8 Gas,RWD,Gas,Automatic,0,Clean,2,Personal Use
2873,2016,Ford,F-150,XL SuperCrew 5.5' Box RWD,Wesley Chapel,FL,59436,28381,Pickup Truck,Ingot Silver Metallic,Medium Earth Gray,2.7L V-6 Gas Turbocharged,RWD,Gas,Automatic,0,Clean,1,Personal Use
2874,2018,Ford,F-150,Lariat SuperCrew 6.5' Box 4WD,Blackwood,NJ,34492,46295,Pickup Truck,Oxford White,Black,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use
2875,2016,Ram,1500,"Big Horn Crew Cab 5'7"" Box 4WD",Indianapolis,IN,53947,30499,Pickup Truck,Bright White Clearcoat,Diesel Gray/Black,3.6L V-6 Gas,4WD,Gas,Automatic,0,Clean,2,Fleet Use
2876,2018,Chevrolet,Silverado 1500,LT Z71 Double Cab Standard Box 4WD,Sandusky,OH,130089,25989,Pickup Truck,Summit White,Jet Black,5.3L V-8 Gas,4WD,Gas,Automatic,1,Clean,1,Personal Use
