,year,make,model,sub_model,city,state,mileage,price,style,exterior_color,interior_color,engine,drive_type,fuel_type,transmission,accidents,title,owners,use_type,cpo
7519,2018,Volvo,XC90,T6 AWD 7-Passenger Momentum,Knoxville,TN,"90,248","$31,081",SUV,Osmium Grey Metallic,Charcoal,2.0L Inline-4 Gas Supercharged and Turbocharged,AWD,Gas,Automatic,0,Clean,1,Personal Use,True
7520,2010,Acura,ZDX,with Technology Package,Grand Rapids,MI,"131,911","$13,990",SUV,Aspen White Pearl,Ebony,3.7L V-6 Gas,AWD,Gas,Automatic,0,Clean,1,Personal Use,True
7521,2019,Cadillac,XT5,Luxury FWD,Miami,FL,"21,359","$37,995",SUV,Dark Granite Metallic,Cirrus,3.6L V-6 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use,True
7522,2018,Ford,Focus,SE Sedan,El Paso,TX,"8,891","$18,400",Sedan,White Gold Metallic,Charcoal Black,1.0L Inline-3 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Personal Use,True
7523,2004,Chevrolet,Cavalier,Base Sedan,Midlothian,IL,"115,630","$2,500",Sedan,Victory Red,Gray,2.2L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Rental Use,True
7524,2016,Ford,Fusion,SE FWD,Santa Ana,CA,"87,218","$11,950",Sedan,Deep Impact Blue,Ebony,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,3,Personal Use,True
7525,2021,Honda,Accord,LX 1.5T CVT,Vallejo,CA,940,"$25,929",Sedan,Platinum White Pearl,Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Personal Use,True
7526,2019,Toyota,Tundra,SR5 Double Cab 6.5' Bed 5.7L 2WD,Miami,FL,"158,077","$27,590",Pickup Truck,Barcelona Red Metallic,Black,5.7L V-8 Gas,RWD,Gas,Automatic,0,Clean,1,Personal Use,True
7527,2014,Volkswagen,Jetta,1.8T SE Sedan Auto,Orlando,FL,"124,028","$7,995",Sedan,Gray,Black,1.8L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,4,Fleet Use,True
7528,2019,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Fargo,ND,"15,201","$39,956",Pickup Truck,Agate Black,Medium Earth Gray,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
7529,2016,Ford,F-150,XL Regular Cab 8.0' Box RWD,Roswell,GA,"101,181","$17,998",Pickup Truck,Oxford White,Dark Earth Gray,5.0L V-8 Gas,RWD,Gas,Automatic,0,Clean,1,Fleet Use,True
